,BEER,NONALCOHOL,BURGER,HOTDOG,TW1,TW2,TW3
978,3,1,2,1,0,1,1
979,3,5,1,2,1,0,1
980,4,4,2,2,0,1,0
981,0,3,0,1,0,1,0
982,3,2,0,1,0,0,1
983,4,1,0,1,0,1,1
984,2,1,1,2,1,1,1
985,2,0,2,1,1,0,1
986,0,1,0,1,1,0,1
987,1,3,2,1,1,1,1
988,3,3,2,1,1,0,1
990,6,3,0,1,0,1,0
991,2,4,0,2,0,1,1
992,3,4,0,2,0,1,0
993,2,3,3,1,0,1,1
994,3,3,1,2,1,0,1
995,1,3,0,1,0,0,1
996,3,3,1,0,1,1,0
997,4,1,0,0,0,1,0
998,3,2,2,2,0,1,0
999,2,3,0,1,0,0,1
1000,3,3,3,1,1,0,0
1001,2,4,1,1,0,1,1
1002,1,3,1,3,1,0,1
1003,3,0,0,2,1,0,0
1004,2,4,1,3,1,0,1
1006,2,3,0,2,0,1,1
1007,4,5,2,1,1,0,1
1008,3,3,0,1,1,0,1
1009,1,0,1,0,0,0,1
1010,4,1,1,1,0,1,1
1011,4,4,0,3,0,0,1
1012,1,4,0,3,1,0,1
1013,0,3,1,1,0,1,1
1014,4,4,2,3,0,0,1
1015,2,3,2,1,1,0,1
1016,1,3,2,0,0,1,1
1017,3,3,0,2,1,0,0
1019,4,4,2,3,0,0,1
1020,1,0,0,0,0,1,1
1021,3,3,1,2,1,0,1
1022,2,2,1,2,0,0,1
1023,2,2,2,1,0,0,1
1024,3,3,1,0,1,0,0
1025,3,2,0,0,0,1,1
1027,2,2,0,1,0,0,1
1028,4,2,0,3,1,0,0
1029,3,2,0,1,1,1,0
1030,3,2,1,2,1,1,1
1031,3,4,0,0,0,0,1
1032,2,2,2,0,1,1,1
1033,3,4,2,0,0,0,1
1034,0,2,1,1,0,0,1
1035,3,4,1,0,1,1,1
1036,3,3,2,2,0,1,0
1037,3,1,2,1,0,1,1
1038,4,2,0,0,0,1,1
1039,3,3,2,2,0,1,1
1040,1,4,3,1,0,1,1
1041,2,3,0,2,0,0,1
1042,0,2,0,0,1,0,1
1044,0,0,0,2,0,1,1
1045,2,0,0,2,1,0,1
1046,0,2,0,0,1,0,1
1047,2,1,0,3,0,1,1
1048,3,4,0,3,1,1,0
1049,2,0,1,0,0,1,0
1050,2,4,1,0,1,1,1
1051,0,3,1,0,1,1,1
1052,3,3,2,2,0,0,1
1053,2,4,0,0,1,0,0
1054,4,4,1,3,0,1,1
1056,1,3,0,0,0,0,1
1057,5,3,2,0,0,0,1
1058,2,3,0,1,0,0,1
1059,3,0,2,1,1,0,1
1060,3,2,1,3,1,1,0
1061,3,0,0,0,0,1,1
1062,2,0,1,0,1,0,1
1063,3,4,0,2,0,0,1
1064,3,3,1,1,0,0,1
1065,4,4,0,2,0,1,1
1066,0,4,1,0,1,1,1
1067,1,4,1,1,0,1,1
1069,3,1,0,1,1,1,1
1070,1,2,2,1,0,0,1
1071,0,3,0,3,0,1,0
1075,2,2,1,0,1,1,0
1076,2,3,2,0,0,0,1
1077,1,4,3,3,1,0,1
1078,4,2,3,2,0,0,1
1079,3,2,1,2,0,0,1
1080,2,4,0,2,0,0,1
1081,2,4,0,1,0,1,1
1082,3,3,1,2,0,1,1
1083,5,3,0,1,1,0,0
1084,2,2,0,2,1,0,0
1085,2,1,2,2,0,0,1
1086,1,3,1,2,1,1,1
1087,1,3,1,0,0,1,1
1088,3,1,1,1,0,1,1
1089,3,0,0,1,0,0,1
1091,3,1,0,0,0,1,0
1092,2,4,0,0,1,1,1
1093,2,3,0,0,1,1,1
1094,3,2,0,1,0,0,1
1095,2,0,0,1,0,1,1
1096,3,1,0,2,1,1,0
1097,2,2,0,1,1,1,1
1099,2,2,0,3,0,1,1
1100,1,4,1,0,0,1,0
1101,3,3,0,1,0,1,1
1102,3,3,1,2,0,0,1
1104,3,4,1,1,1,1,0
1105,4,6,1,0,1,0,1
1106,1,3,1,3,0,0,1
1108,3,2,0,2,1,1,1
1109,3,3,3,1,0,1,1
1110,2,3,0,3,0,0,1
1111,4,5,1,0,1,1,0
1112,5,1,0,2,0,1,1
1113,3,0,0,1,0,0,1
1114,2,3,1,0,1,0,1
1115,3,2,1,0,1,0,0
1117,0,5,1,0,1,0,1
1118,3,0,1,0,1,1,1
1119,1,4,0,1,1,0,1
1120,3,2,0,1,1,1,1
1122,3,3,0,3,1,1,0
1123,1,3,1,2,1,0,1
1124,3,3,1,0,0,0,1
1126,1,3,1,1,1,1,1
1127,5,2,2,0,1,0,1
1129,2,3,0,0,0,0,1
1130,2,1,1,0,0,0,1
1131,5,4,1,1,1,0,0
1132,3,3,2,1,1,0,1
1133,2,2,0,0,1,0,0
1134,3,2,0,1,0,0,1
1135,0,4,3,1,0,1,1
1137,0,0,3,0,0,0,1
1138,2,3,0,1,1,0,1
1139,1,3,2,1,0,1,0
1140,2,2,1,2,0,0,1
1141,3,0,2,2,0,1,1
1142,2,4,1,0,0,0,1
1143,4,3,0,3,1,0,1
1144,2,2,0,3,1,1,1
1146,2,0,3,1,0,0,1
1147,3,2,2,1,1,0,0
1148,0,2,0,2,1,1,0
1149,2,3,0,0,0,1,0
1150,2,5,0,0,0,1,1
1151,2,3,1,0,1,1,1
1152,2,3,1,0,1,0,1
1153,4,3,2,3,1,1,1
1154,2,0,2,0,0,0,1
1155,3,2,2,1,0,1,1
1157,3,3,0,1,0,1,0
1158,2,0,0,1,0,1,1
1159,2,1,0,2,1,0,0
1160,2,5,1,1,0,1,0
1161,4,0,0,1,0,0,1
1162,3,3,2,0,1,1,1
1163,5,4,2,0,0,1,1
1164,1,3,3,0,0,0,1
1165,3,3,1,2,0,1,1
1166,4,3,1,0,1,1,0
1167,4,4,2,1,1,1,0
1168,2,2,1,1,0,0,1
1169,4,4,3,1,0,1,0
1170,3,4,1,1,1,0,1
1171,1,1,1,0,1,1,1
1172,2,3,0,1,1,0,1
1173,3,4,1,0,0,1,0
1174,0,0,0,1,0,1,0
1176,4,4,2,1,1,0,1
1177,3,1,1,2,0,0,1
1178,1,5,2,3,1,0,1
1179,2,3,0,1,1,0,1
1180,3,3,0,0,0,1,1
1181,3,1,1,1,0,0,1
1182,3,3,3,2,0,0,1
1183,2,0,0,0,1,0,1
1184,2,3,0,0,0,0,1
1185,3,2,0,1,0,1,1
1186,3,0,0,2,1,1,1
1190,3,1,0,0,1,1,1
1191,0,3,2,1,1,0,1
1192,3,3,2,0,0,0,1
1193,5,4,1,0,1,1,1
1194,3,3,2,0,0,0,1
1195,2,1,1,0,0,0,1
1196,2,4,0,0,0,0,1
1197,2,4,0,2,0,0,1
1198,2,2,1,3,1,1,1
1199,1,4,1,1,1,1,1
1200,2,2,1,1,0,1,1
1201,0,4,1,2,1,0,1
1202,1,3,0,2,0,0,1
1203,3,6,1,1,1,1,1
1204,1,4,3,2,1,0,0
1205,3,4,0,1,0,0,1
1207,2,2,3,0,1,0,1
1208,3,2,3,2,0,0,1
1209,3,3,0,3,0,0,1
1210,3,3,0,2,0,0,1
1211,4,3,1,1,1,0,1
1213,3,4,3,0,0,0,1
1214,1,3,1,0,1,0,0
1215,3,0,2,1,0,1,1
1216,3,3,0,1,0,1,1
1217,6,3,0,3,0,0,1
1218,4,2,0,0,0,1,1
1219,3,3,1,1,1,1,1
1220,4,5,0,0,0,1,0
1221,0,2,0,1,0,0,1
1222,2,4,2,0,1,0,1
1223,6,4,2,0,0,0,1
1224,2,3,2,0,0,1,1
1225,3,3,3,1,0,0,1
1226,0,3,1,2,1,0,1
1227,0,3,2,0,0,1,1
1228,1,1,0,1,0,0,1
1229,3,2,1,1,1,0,1
1230,2,4,2,1,0,1,0
1231,4,3,0,1,1,0,1
1232,0,4,2,1,0,1,1
1233,0,4,0,3,0,0,1
1234,2,5,0,0,1,0,1
1235,3,0,2,0,0,0,1
1236,1,1,0,2,0,1,1
1237,1,3,0,0,0,1,1
1238,4,3,0,2,1,0,1
1240,3,3,0,1,0,0,1
1242,5,3,0,3,1,1,0
1243,0,2,3,1,0,0,1
1244,3,3,0,1,1,0,1
1246,0,3,1,0,1,0,1
1247,2,3,0,1,1,0,1
1248,3,4,2,2,0,0,1
1249,3,4,1,1,0,0,1
1250,2,5,0,1,0,0,1
1251,2,6,0,1,0,1,1
1252,1,4,2,1,1,1,1
1253,2,2,1,3,0,1,1
1254,3,3,0,0,0,1,1
1255,2,4,2,0,0,1,1
1256,0,3,2,2,0,1,1
1258,1,3,1,1,0,1,1
1259,1,0,0,2,0,0,1
1260,3,3,0,0,0,1,0
1261,2,3,0,0,0,1,1
1262,2,1,2,0,0,1,1
1263,1,4,0,1,1,0,1
1264,1,3,2,0,0,1,1
1265,4,3,2,2,1,1,0
1266,0,3,2,1,0,0,1
1267,2,5,1,1,1,1,1
1269,2,6,2,1,0,0,1
1270,4,1,0,1,0,1,0
1271,2,4,3,1,0,1,1
1272,2,3,2,2,0,0,1
1273,1,6,0,1,0,0,1
1274,1,3,1,0,1,1,1
1275,2,1,3,2,0,1,1
1276,3,4,1,1,0,1,1
1277,2,0,1,1,1,0,1
1278,3,4,3,0,1,0,1
1279,3,3,0,2,1,1,1
1280,3,4,0,1,0,1,1
1282,3,3,0,2,0,1,1
1283,2,3,0,1,0,1,1
1284,2,1,3,0,1,0,1
1285,2,2,1,2,1,1,1
1286,1,2,1,2,0,0,1
1287,3,4,2,1,0,1,1
1288,0,3,0,0,0,1,1
1289,3,3,3,2,0,1,0
1290,2,4,3,0,0,1,1
1291,2,4,1,3,0,0,1
1292,4,3,2,2,1,0,1
1293,4,4,0,1,0,0,1
1294,2,3,0,0,1,1,0
1295,4,2,0,0,0,1,0
1296,2,3,2,0,1,1,1
1297,2,2,0,0,0,0,1
1298,3,4,0,2,0,1,1
1299,2,3,1,1,1,0,0
1300,3,5,0,1,1,1,1
1302,2,3,0,2,0,0,1
1303,1,2,3,1,0,1,1
1304,2,3,1,1,1,1,1
1305,3,3,3,2,1,1,1
1306,2,3,1,0,0,0,1
1307,3,0,0,1,0,1,1
1308,4,2,1,1,0,1,0
1309,4,3,2,2,0,1,1
1310,0,3,3,2,0,0,1
1311,3,3,1,1,0,1,0
1312,3,2,2,1,0,0,1
1315,2,3,0,0,1,0,1
1316,3,3,2,1,0,0,1
1317,3,1,0,2,0,1,0
1319,3,2,3,2,0,1,1
1320,6,0,0,0,1,1,1
1321,4,2,1,1,0,0,1
1322,2,0,0,2,1,0,1
1323,1,3,1,3,0,1,1
1324,2,2,2,1,1,0,1
1325,2,3,0,1,0,1,1
1326,2,3,0,2,0,1,1
1327,1,4,0,1,0,1,1
1328,2,5,3,0,0,1,1
1329,1,0,1,1,0,1,1
1330,3,4,3,2,0,1,1
1331,4,1,1,0,0,1,1
1332,3,3,0,0,0,0,1
1334,3,2,2,1,0,1,1
1335,3,2,0,2,1,0,1
1336,5,3,2,1,1,0,1
1337,2,2,1,0,0,0,1
1338,3,4,0,1,0,1,0
1339,4,4,3,0,0,1,1
1340,3,4,2,0,1,1,0
1341,1,3,2,1,1,0,1
1342,0,2,0,1,1,0,0
1343,4,3,2,3,0,1,0
1344,0,4,2,1,0,1,1
1345,0,4,3,1,0,1,1
1346,2,3,1,2,0,1,0
1347,3,1,3,3,1,1,1
1349,5,1,1,3,1,1,1
1350,3,3,0,0,0,0,1
1352,3,4,0,1,0,1,1
1353,1,4,3,0,0,0,1
1354,3,4,1,1,0,1,1
1355,3,5,1,1,0,1,0
1358,3,2,2,1,0,0,1
1359,2,2,0,1,1,1,1
1360,3,3,1,1,1,0,1
1361,3,3,0,2,0,1,0
1362,3,3,1,1,0,1,0
1363,4,0,1,2,0,1,1
1365,3,4,1,2,0,0,1
1366,6,3,3,1,1,0,0
1367,4,3,0,0,1,0,1
1368,1,3,1,1,0,0,1
1369,4,2,1,0,1,0,1
1370,2,4,0,3,0,0,1
1371,4,4,1,0,0,0,1
1373,2,4,1,0,0,1,1
1374,3,3,2,3,0,0,1
1375,1,0,0,0,0,1,0
1376,3,2,3,3,1,0,0
1377,2,2,1,1,0,1,0
1378,3,4,0,0,0,1,1
1379,4,2,1,1,1,1,0
1380,2,4,2,2,0,0,1
1381,1,2,0,1,0,0,1
1382,0,0,0,1,1,1,1
1383,2,0,1,0,0,0,1
1384,2,0,0,0,1,0,1
1385,0,3,0,2,0,1,1
1386,0,0,0,2,1,0,1
1387,3,2,2,0,0,1,1
1389,3,4,2,1,1,0,1
1391,4,0,0,0,1,0,1
1392,4,2,2,1,0,0,1
1393,2,4,1,1,1,0,1
1394,0,2,1,3,1,0,1
1395,4,4,0,0,0,1,1
1396,3,4,0,1,0,0,1
1397,0,3,2,3,1,0,0
1399,2,3,1,2,0,0,1
1400,0,4,0,0,0,1,0
1401,1,2,3,1,1,1,1
1402,3,2,3,0,1,0,1
1403,1,4,3,0,0,0,1
1404,4,1,1,2,0,1,1
1405,2,3,0,0,0,1,0
1406,1,3,0,1,0,0,1
1407,3,4,0,3,0,1,1
1408,4,3,3,1,0,0,1
1409,3,0,2,1,1,0,1
1410,2,4,1,0,1,1,0
1411,3,1,3,1,0,1,1
1412,2,4,0,2,0,1,1
1413,3,3,1,3,0,0,1
1415,4,2,1,0,1,0,1
1416,3,0,2,1,0,0,1
1417,2,3,0,2,1,0,0
1418,1,2,1,0,0,0,1
1419,1,2,0,1,1,0,0
1420,4,3,0,0,1,0,1
1421,3,3,0,3,0,1,1
1422,1,2,0,1,0,1,0
1424,3,4,1,0,1,1,1
1425,3,2,0,3,0,0,1
1426,2,1,3,1,1,0,1
1427,3,4,1,0,0,1,0
1428,0,3,2,3,1,0,1
1429,2,4,1,1,0,0,1
1430,1,2,0,3,0,1,1
1431,3,4,1,1,0,1,1
1432,3,3,2,3,0,1,1
1433,2,2,2,1,0,1,1
1434,2,3,0,0,1,0,1
1435,0,0,3,1,0,0,1
1436,2,4,3,3,0,1,1
1437,3,4,1,0,1,1,1
1438,2,4,1,1,1,0,1
1439,5,0,0,1,0,1,0
1440,2,2,1,2,1,1,1
1441,1,4,1,1,0,1,1
1443,3,4,0,1,0,1,1
1444,4,4,1,3,0,0,1
1447,3,2,1,0,0,1,1
1448,3,2,1,1,0,1,1
1449,2,0,2,1,0,0,1
1450,3,3,3,1,0,0,1
1451,2,3,0,1,0,1,0
1452,2,0,0,1,1,1,1
1453,2,3,1,1,0,0,1
1454,0,3,2,1,1,0,0
1456,4,2,0,3,0,1,0
1457,3,0,1,2,0,0,1
1458,3,3,1,1,1,1,1
1459,2,3,0,3,0,0,1
1460,3,0,3,2,1,1,1
1462,3,1,0,1,0,0,1
1464,0,4,0,0,0,1,1
1465,4,1,2,1,0,0,1
1466,2,3,1,1,0,1,1
1467,0,0,2,0,0,1,1
1470,4,1,1,0,0,0,1
1471,3,3,0,2,0,0,1
1473,2,3,0,1,0,0,1
1474,0,5,2,1,0,1,0
1475,2,2,1,1,1,0,0
1476,2,0,0,0,0,1,1
1477,3,1,2,3,1,0,0
1478,0,1,2,1,0,1,1
1481,1,2,1,0,0,1,0
1482,3,6,1,1,0,0,1
1483,3,3,1,1,0,1,1
1484,1,3,2,3,1,0,0
1485,4,5,0,1,1,0,1
1487,2,4,0,1,1,1,1
1488,2,3,2,1,0,1,1
1489,6,2,2,2,0,1,1
1490,2,2,2,1,0,0,1
1491,3,3,1,1,0,0,1
1492,3,4,0,1,0,1,0
1494,2,3,0,0,0,1,1
1495,0,3,1,1,1,0,1
1497,3,3,0,2,1,0,0
1498,5,2,0,0,1,1,1
1499,4,3,2,2,0,1,1
1500,2,1,1,3,0,0,1
1502,2,4,0,1,0,0,1
1503,0,1,2,2,0,0,1
1504,1,2,1,0,1,0,0
1505,4,3,3,0,0,0,1
1506,0,4,0,0,1,0,1
1507,2,3,1,2,0,1,1
1508,3,2,2,1,0,0,1
1509,4,0,2,1,0,0,1
1510,3,3,1,3,0,1,1
1511,2,1,3,1,1,1,1
1514,3,2,2,2,1,0,1
1515,4,4,0,2,0,0,1
1516,2,1,1,1,0,1,1
1518,4,0,1,1,0,1,1
1519,0,0,3,0,1,0,0
1520,2,3,2,1,0,1,1
1521,5,4,0,1,0,0,1
1523,4,4,1,3,0,0,1
1524,1,3,0,1,0,1,0
1525,3,3,2,1,0,0,1
1526,3,4,2,2,1,1,1
1527,1,3,1,3,1,0,1
1528,1,1,1,1,0,1,0
1530,2,2,1,2,1,0,1
1531,3,3,2,1,0,0,1
1532,0,3,1,0,0,0,1
1534,2,3,1,3,0,0,1
1535,2,4,0,0,0,0,1
1536,3,0,1,1,1,0,1
1537,3,4,0,1,0,0,1
1538,4,3,2,0,0,1,1
1539,2,3,2,2,0,1,1
1540,3,3,0,1,1,0,1
1541,2,2,0,3,0,1,1
1542,3,3,1,0,1,0,1
1543,2,3,1,1,0,0,1
1544,3,3,0,0,0,0,1
1545,3,1,0,2,0,0,1
1546,0,2,0,0,0,0,1
1547,1,4,0,1,0,1,0
1548,2,3,1,1,0,0,1
1549,4,3,2,0,1,1,1
1550,2,2,2,1,0,0,1
1551,4,3,2,1,1,0,1
1552,2,2,1,0,0,1,1
1553,3,3,1,0,0,1,1
1554,3,3,0,2,0,0,1
1555,5,3,0,0,0,1,1
1556,3,3,2,1,0,0,1
1557,3,3,0,3,0,0,1
1558,2,2,1,2,0,1,1
1559,5,3,0,3,0,1,1
1560,2,0,3,3,0,1,1
1561,1,2,1,3,1,0,1
1562,1,3,0,3,0,1,1
1563,3,4,1,0,0,1,1
1564,2,2,2,0,0,0,1
1565,0,3,0,1,0,1,1
1567,3,3,2,1,0,0,1
1568,2,4,0,1,0,0,1
1569,1,0,0,2,1,1,0
1570,2,2,3,0,0,0,1
1571,3,4,0,2,0,0,1
1572,2,3,1,0,0,0,1
1573,2,1,2,1,0,0,1
1575,2,3,0,2,0,0,1
1576,0,3,2,1,0,1,0
1578,0,3,1,2,0,1,1
1579,1,5,0,2,0,1,1
1580,1,3,2,1,1,0,1
1581,0,4,1,0,0,1,1
1582,2,2,2,3,0,1,0
1583,1,6,0,0,0,1,1
1584,4,2,0,0,0,1,0
1585,2,3,0,0,0,1,1
1586,2,5,2,1,0,1,0
1588,2,4,2,1,0,0,1
1591,2,3,1,1,0,1,1
1592,2,0,0,1,0,1,0
1593,2,3,1,2,1,1,1
1594,2,2,0,0,0,1,0
1595,1,3,3,1,0,1,1
1596,3,4,0,1,1,0,1
1597,0,2,0,2,0,0,1
1598,3,2,2,0,1,0,1
1599,2,3,0,2,1,0,1
1600,2,3,1,0,0,0,1
1601,4,3,0,3,1,0,0
1602,1,4,2,0,0,1,0
1603,4,2,1,1,0,0,1
1604,3,6,1,2,0,0,1
1606,3,4,1,1,1,1,0
1608,2,3,1,0,1,0,1
1609,3,3,1,2,0,1,1
1610,2,3,2,1,1,0,1
1611,3,4,0,2,0,1,1
1612,2,0,3,1,0,1,0
1613,2,3,0,1,1,0,1
1614,2,3,0,0,0,0,1
1615,1,5,1,3,1,0,1
1616,3,5,2,3,0,0,1
1617,2,2,0,0,0,0,1
1618,3,2,0,0,1,0,1
1619,2,2,1,3,0,1,1
1620,2,3,0,1,1,1,1
1622,1,4,2,1,1,1,0
1623,3,3,0,1,0,1,1
1624,3,0,1,1,0,1,1
1625,2,0,0,1,0,0,1
1626,1,0,3,2,0,0,1
1627,1,3,0,1,0,0,1
1628,2,3,0,1,1,1,1
1629,3,1,3,0,0,1,1
1630,2,2,0,0,0,1,1
1631,4,3,0,1,1,0,1
1632,1,0,0,2,0,1,1
1633,3,4,0,1,1,1,1
1634,3,4,0,0,1,0,0
1635,2,0,0,1,0,1,0
1636,3,3,0,1,1,0,0
1637,3,3,0,1,0,0,1
1638,3,0,1,1,0,1,1
1639,2,2,0,1,0,0,1
1640,2,4,2,0,1,0,1
1641,2,1,1,3,1,0,1
1642,2,2,1,1,0,1,1
1643,2,3,0,2,1,1,1
1644,1,4,1,2,1,0,0
1645,1,3,1,2,0,0,1
1646,3,4,0,1,0,0,1
1647,5,6,2,3,1,0,1
1648,4,6,0,0,1,1,1
1649,3,3,3,2,1,1,1
1650,3,1,0,3,1,0,0
1651,2,2,1,0,1,0,1
1652,2,4,0,3,0,0,1
1653,3,4,1,1,1,1,1
1654,4,4,3,2,1,0,0
1655,4,2,2,1,1,0,0
1656,3,4,1,0,1,1,1
1657,5,4,1,0,0,1,1
1658,3,3,0,1,0,1,1
1659,1,0,1,1,1,1,0
1660,3,3,1,0,0,1,1
1661,2,3,0,1,0,1,0
1662,2,3,1,0,1,1,1
1663,2,3,3,1,1,0,1
1664,0,2,3,1,0,0,1
1665,2,3,1,0,0,1,1
1666,3,4,0,1,0,1,1
1667,2,0,3,0,1,1,1
1668,3,2,2,1,1,0,1
1669,3,1,2,2,0,0,1
1670,2,3,2,2,0,1,1
1671,3,4,1,0,0,1,1
1672,0,2,1,0,0,0,1
1673,2,2,3,1,0,0,1
1674,4,2,0,1,0,0,1
1676,0,2,1,2,0,0,1
1677,0,2,2,1,1,1,1
1678,2,3,2,3,0,1,1
1679,0,1,1,0,0,0,1
1680,2,2,0,3,1,1,0
1681,3,3,0,3,0,1,1
1682,3,2,1,3,1,1,0
1683,2,3,3,1,0,0,1
1685,2,4,0,1,1,0,1
1686,3,4,0,0,0,1,1
1687,2,3,0,1,1,1,0
1688,2,5,1,1,0,0,1
1689,3,3,2,1,0,1,0
1690,3,3,0,3,1,1,1
1691,2,2,0,1,0,1,1
1693,3,4,2,1,0,0,1
1694,4,2,0,1,0,1,1
1695,4,3,1,0,1,0,1
1696,0,2,0,2,0,1,1
1697,2,1,3,0,0,1,1
1698,0,1,0,1,0,0,1
1699,2,4,3,2,1,0,0
1700,2,0,0,0,0,0,1
1701,3,3,1,1,0,0,1
1702,2,1,2,2,1,0,1
1703,3,1,0,0,1,0,1
1704,2,0,1,2,0,0,1
1705,2,2,0,2,1,1,1
1706,2,3,2,1,1,1,1
1707,3,3,0,1,0,0,1
1708,3,2,1,1,1,1,1
1709,3,4,0,1,1,0,1
1710,5,4,3,1,1,0,1
1711,1,6,2,1,1,1,0
1713,3,3,0,2,0,0,1
1715,4,3,2,0,0,0,1
1716,4,4,1,1,1,0,1
1717,1,2,2,2,1,1,1
1718,3,4,2,1,0,0,1
1719,0,4,1,0,1,1,1
1720,2,2,0,3,1,1,1
1721,0,3,2,0,1,0,1
1722,2,1,1,2,1,1,1
1723,3,0,1,1,0,1,1
1724,1,4,2,1,0,1,0
1725,4,3,0,1,0,0,1
1726,3,3,2,0,1,1,0
1727,3,2,0,3,0,1,1
1728,2,4,0,1,1,0,1
1729,3,3,0,0,0,1,0
1730,1,3,3,1,1,1,1
1731,2,1,0,0,0,1,0
1732,3,2,0,1,1,1,1
1733,1,4,0,2,1,1,1
1734,3,4,3,0,0,0,1
1735,3,5,3,1,1,1,1
1736,2,4,2,1,1,1,1
1737,5,2,2,1,0,0,1
1738,2,2,1,0,0,0,1
1739,0,3,2,0,0,1,0
1740,4,2,1,1,0,0,1
1741,5,1,1,1,1,0,1
1743,4,1,1,1,1,0,1
1744,3,2,0,2,1,1,1
1745,4,5,0,1,0,1,1
1746,2,5,1,3,1,0,0
1747,6,3,1,0,0,1,1
1748,3,4,3,1,0,0,1
1749,2,3,0,0,1,1,1
1750,4,4,3,0,1,0,1
1751,1,2,0,0,0,1,1
1752,3,3,1,3,0,1,1
1753,2,3,0,1,0,0,1
1754,3,1,1,0,1,1,1
1756,2,2,0,1,1,0,1
1757,2,3,1,3,0,0,1
1758,2,2,2,0,0,0,1
1759,4,0,1,2,0,0,1
1760,4,0,2,1,0,0,1
1761,2,3,1,2,0,1,1
1762,3,0,1,2,0,1,0
1763,2,2,1,2,0,1,1
1764,2,2,1,2,0,0,1
1765,2,2,1,0,1,0,1
1766,3,0,1,1,0,1,1
1767,2,0,2,1,0,0,1
1768,2,4,1,0,0,1,1
1769,3,4,3,2,0,0,1
1770,6,4,3,0,1,0,1
1771,3,6,2,0,1,0,1
1772,1,3,0,1,0,1,1
1773,3,2,1,1,1,1,1
1774,3,3,1,1,0,0,1
1775,4,3,1,3,1,1,0
1776,3,3,1,3,0,0,1
1777,4,4,0,0,0,0,1
1778,3,2,2,0,1,1,1
1779,5,3,2,0,1,0,1
1780,3,4,2,1,0,1,1
1781,2,3,3,0,0,0,1
1782,3,3,0,3,0,1,1
1783,3,3,1,1,0,1,0
1784,2,1,0,2,1,0,1
1786,2,3,2,0,0,1,1
1787,1,0,1,2,1,1,1
1788,3,2,1,1,1,1,1
1789,1,0,0,1,0,0,1
1790,2,0,0,1,0,0,1
1791,6,4,1,2,0,1,1
1792,4,0,2,1,1,1,1
1793,2,1,0,1,1,0,0
1796,5,3,1,2,1,1,1
1797,1,1,3,1,0,1,1
1798,2,3,2,2,1,1,1
1800,2,4,0,0,0,0,1
1801,6,0,1,1,0,0,1
1802,4,3,0,1,0,0,1
1803,2,2,0,1,1,1,1
1804,4,3,1,0,0,1,1
1805,3,3,2,1,0,0,1
1806,3,3,1,1,0,1,1
1807,3,1,1,2,0,0,1
1808,4,2,0,0,1,0,1
1809,0,2,1,0,0,1,0
1810,2,6,1,1,0,1,0
1811,2,5,1,1,1,1,1
1812,2,4,0,1,0,1,1
1813,4,2,3,1,0,0,1
1814,1,2,1,0,0,0,1
1815,2,4,3,0,1,1,1
1816,3,1,2,0,0,0,1
1817,1,3,2,0,0,1,1
1818,4,4,0,1,0,1,0
1819,1,2,1,2,0,0,1
1821,2,0,0,1,0,0,1
1822,3,0,3,1,0,0,1
1823,4,1,1,0,0,0,1
1824,4,3,1,1,0,1,0
1825,2,2,1,0,1,1,0
1826,2,4,0,1,1,0,1
1827,0,2,0,1,0,0,1
1828,2,2,3,0,1,1,1
1829,2,0,1,1,0,0,1
1830,5,1,2,0,0,1,0
1831,5,2,0,0,0,1,1
1832,1,2,2,1,0,0,1
1833,4,2,2,2,1,0,1
1834,2,1,0,2,1,0,0
1835,4,0,2,1,1,0,1
1836,5,3,0,2,1,1,1
1837,5,3,0,0,0,1,1
1838,3,2,1,1,1,0,0
1839,1,0,0,0,0,0,1
1840,3,4,0,1,1,1,1
1841,3,3,0,1,0,1,1
1842,3,2,2,0,0,1,1
1843,2,2,0,1,0,1,1
1846,4,4,0,2,0,0,1
1847,1,1,0,3,0,1,0
1848,2,3,0,3,0,0,1
1849,3,3,1,3,0,0,1
1850,2,4,0,1,0,1,1
1851,0,3,0,0,0,1,0
1852,3,4,0,0,1,0,1
1853,3,4,3,0,0,1,1
1855,6,3,2,2,0,1,1
1856,2,2,0,3,0,0,1
1857,4,3,3,1,1,1,0
1859,3,1,1,2,0,0,1
1860,3,3,3,2,1,1,1
1861,3,2,2,2,1,0,1
1862,3,3,0,0,1,1,1
1863,2,4,3,0,1,1,1
1864,2,3,3,2,1,1,1
1865,6,2,1,1,0,0,1
1867,4,4,0,1,0,0,1
1868,2,3,0,1,0,0,1
1869,3,1,3,2,0,1,1
1870,4,3,3,1,0,1,1
1871,4,2,1,1,1,0,0
1872,3,2,0,1,1,1,1
1873,4,1,2,1,0,0,1
1874,0,3,2,1,0,1,1
1875,2,3,0,1,0,1,1
1876,3,3,2,1,0,0,1
1877,3,5,1,1,0,1,1
1878,4,2,0,1,1,0,0
1879,2,3,0,2,1,1,0
1880,4,3,3,2,0,0,1
1881,2,0,1,2,0,1,0
1882,2,3,1,1,0,0,1
1883,3,4,2,1,0,1,1
1884,2,3,2,1,1,0,1
1885,2,3,1,1,1,0,1
1886,1,3,2,0,1,0,1
1887,2,4,0,1,1,0,1
1888,5,3,1,2,0,0,1
1889,4,0,1,1,1,0,1
1890,4,2,0,3,0,1,1
1891,2,1,0,1,0,1,1
1892,0,3,1,0,0,1,1
1893,3,4,1,2,0,0,1
1894,5,3,0,1,1,1,0
1895,2,3,0,1,0,0,1
